procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 4539536  44636 4426772    0    0   298   461  122   91  2  9 88  1  0
 1  0      0 4539536  44636 4426772    0    0     0  1236 1799 1708  1  2 97  0  0
 3  0      0 4539536  44636 4426772    0    0     0     0  380  209  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  349  168  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    60  377  211  0  0 100  0  0
 2  2      0 4539536  44636 4426772    0    0     0    76  491  230  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   304  446  254  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  838 1347  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  395  169  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  535  161  0  0 100  0  0
 9  0      0 4539536  44636 4426772    0    0     0    88  543  231  1  0 99  0  0
 4  1      0 4539536  44636 4426772    0    0     0 59308 3373 5438  4  5 81 10  0
 9  0      0 4539536  44636 4426772    0    0     0    44 1038  630 14 33 50  4  0
 8  0      0 4539536  44636 4426772    0    0     0    24 1451 1540 17 25 49  9  0
 4  0      0 4539536  44636 4426772    0    0     0   324 2890 3980  8  4 78 10  0
 5  0      0 4539536  44636 4426772    0    0     0    40 2693 4339  3  0 86 11  0
 4  0      0 4539536  44636 4426772    0    0     0    40 3304 4423  6  1 83 10  0
 7  0      0 4539536  44636 4426772    0    0     0    20 2729 4571  3  0 85 11  0
14  0      0 4539536  44636 4426772    0    0     0    24 4295 8376  1  1 87 11  0
 4  1      0 4539536  44636 4426772    0    0     0    24 4196 6027 19  2 72  6  0
 3  1      0 4539536  44636 4426772    0    0     0    24 2803 3677 23  1 71  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 4539536  44636 4426772    0    0     0    40 2624 3603 20  1 73  5  0
 3  1      0 4539536  44636 4426772    0    0     0    36 2933 3872 24  1 70  5  0
 5  0      0 4539536  44636 4426772    0    0     0   248 3131 5229 11  1 81  7  0
 5  1      0 4539536  44636 4426772    0    0    52   240 2215 2658  8 16 69  7  0
 6  1      0 4539536  44636 4426772    0    0     0    52 1358 1311 14 20 61  5  0
 5  0      0 4539536  44636 4426772    0    0     0   320 2240 4239  7  4 80  8  0
 4  0      0 4539536  44636 4426772    0    0     0    44 2328 3466 14  4 75  7  0
 4  0      0 4539536  44636 4426772    0    0     0    20 1650 4602  9  1 80 10  0
 3  0      0 4539536  44636 4426772    0    0     0    40 2302 3970 15  1 76  7  0
10  0      0 4539536  44636 4426772    0    0     0    28 1380 5109  1  2 85 12  0
 7  0      0 4539536  44636 4426772    0    0     0    48 2280 3848 20  4 70  6  0
 7  0      0 4539536  44636 4426772    0    0     0    20 1473 4714  4  2 83 11  0
 4  0      0 4539536  44636 4426772    0    0     0    44 1687 2179 21  4 70  5  0
 7  0      0 4539536  44636 4426772    0    0     0    40 2634 3912 23  1 70  6  0
14  0      0 4539536  44636 4426772    0    0     0    20 4490 11777 16  2 74  8  0
 6  1      0 4539536  44636 4426772    0    0     0    24 2402 8248  1  0 88 11  0
 4  1      0 4539536  44636 4426772    0    0     0   608 3843 4553 16 21 58  5  0
 8  1      0 4539536  44636 4426772    0    0     0    44 3131 6208  1  1 91  8  0
 3  0      0 4539536  44636 4426772    0    0     0    48 4057 4442 26  2 66  5  0
 3  1      0 4539536  44636 4426772    0    0     0    40 3804 6370 18  1 75  6  0
 3  1      0 4539536  44636 4426772    0    0     0    40 3003 4280 24  1 70  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 4539536  44636 4426772    0    0     0    40 3564 6454  3  0 89  7  0
 4  0      0 4539536  44636 4426772    0    0     0    40 3803 4811 23  1 71  5  0
 4  0      0 4539536  44636 4426772    0    0     0    60 3213 5216 13  1 80  6  0
 8  0      0 4539536  44636 4426772    0    0     0    20 2833 3490 23  2 70  5  0
 3  1      0 4539536  44636 4426772    0    0     0    32 1891 2761 12  2 80  6  0
 6  0      0 4539536  44636 4426772    0    0     8   632 4243 7489 10  1 81  8  0
 5  1      0 4539536  44636 4426772    0    0     0   224 1525 1194 18 30 46  6  0
14  0      0 4539536  44636 4426772    0    0     0    24 2180 2266 26 23 46  5  0
